Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
24/04/2017,5612,5612,5612,5612
25/04/2017,5652.5,5652.5,5652.5,5652.5
26/04/2017,5677.5,5677.5,5677.5,5677.5
27/04/2017,5686.5,5686.5,5686.5,5686.5
28/04/2017,5688.5,5688.5,5688.5,5688.5
02/05/2017,5746.5,5746.5,5746.5,5746.5
03/05/2017,5636.5,5636.5,5636.5,5636.5
04/05/2017,5543,5543,5543,5543
05/05/2017,5530.5,5530.5,5530.5,5530.5
08/05/2017,5466,5466,5466,5466
09/05/2017,5496,5496,5496,5496
10/05/2017,5512,5512,5512,5512
11/05/2017,5580.5,5580.5,5580.5,5580.5
12/05/2017,5520,5520,5520,5520
15/05/2017,5586,5586,5586,5586
16/05/2017,5584,5584,5584,5584
17/05/2017,5575,5575,5575,5575
18/05/2017,5490,5490,5490,5490
19/05/2017,5596,5596,5596,5596
22/05/2017,5677,5677,5677,5677
23/05/2017,5660.5,5660.5,5660.5,5660.5
24/05/2017,5662.5,5662.5,5662.5,5662.5
25/05/2017,5665,5665,5665,5665
26/05/2017,5671,5671,5671,5671
30/05/2017,5608,5608,5608,5608
31/05/2017,5615.5,5615.5,5615.5,5615.5
01/06/2017,5636.5,5636.5,5636.5,5636.5
02/06/2017,5559.5,5559.5,5559.5,5559.5
05/06/2017,5586.5,5586.5,5586.5,5586.5
06/06/2017,5540.5,5540.5,5540.5,5540.5
07/06/2017,5575.5,5575.5,5575.5,5575.5
08/06/2017,5647.5,5647.5,5647.5,5647.5
09/06/2017,5739,5739,5739,5739
12/06/2017,5752,5752,5752,5752
13/06/2017,5659,5659,5659,5659
14/06/2017,5684.5,5684.5,5684.5,5684.5
15/06/2017,5637,5637,5637,5637
16/06/2017,5655.5,5655.5,5655.5,5655.5
19/06/2017,5687,5687,5687,5687
20/06/2017,5673.5,5673.5,5673.5,5673.5
21/06/2017,5650,5650,5650,5650
22/06/2017,5736,5736,5736,5736
23/06/2017,5774,5774,5774,5774
26/06/2017,5771,5771,5771,5771
27/06/2017,5789,5789,5789,5789
28/06/2017,5822,5822,5822,5822
29/06/2017,5905.5,5905.5,5905.5,5905.5
30/06/2017,5907.5,5907.5,5907.5,5907.5
03/07/2017,5894,5894,5894,5894
04/07/2017,5847,5847,5847,5847
05/07/2017,5818,5818,5818,5818
06/07/2017,5828.5,5828.5,5828.5,5828.5
07/07/2017,5809,5809,5809,5809
10/07/2017,5780,5780,5780,5780
11/07/2017,5795,5795,5795,5795
