Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
05/10/2016,72.456,73.605,72.257,73.001,821360
06/10/2016,72.644,73.011,71.583,72.357,589040
07/10/2016,72.257,73.576,71.564,72.803,538916
10/10/2016,73.1,73.962,72.951,73.298,524566
11/10/2016,73.467,73.576,71.534,71.663,663108
12/10/2016,71.365,72.723,71.167,72.525,460488
13/10/2016,71.365,71.851,69.76,69.928,970926
14/10/2016,70.622,70.929,68.6,69.145,915115
17/10/2016,69.284,69.284,67.014,67.411,1078441
18/10/2016,68.382,69.978,68.293,69.036,736720
19/10/2016,69.185,69.958,68.531,68.689,545768
20/10/2016,69.373,69.373,68.263,68.263,346388
21/10/2016,68.263,69.482,67.906,68.451,743083
24/10/2016,69.284,70.116,69.056,69.958,400389
25/10/2016,71.96,72.347,70.543,70.543,669125
26/10/2016,70.771,71.484,69.234,71.365,604085
27/10/2016,71.028,71.722,70.097,70.146,706256
28/10/2016,70.364,71.167,69.502,71.167,488591
31/10/2016,70.781,71.613,70.126,70.453,575792
02/11/2016,70.107,70.146,68.045,68.392,859993
03/11/2016,68.392,69.363,67.738,68.868,722146
04/11/2016,68.996,70.176,68.887,70.116,662035
07/11/2016,71.603,72.822,71.385,71.811,1152910
08/11/2016,72.01,74.289,72.01,74.289,1256933
09/11/2016,73.447,80.286,73.358,80.286,4112644
10/11/2016,86.332,90.198,84.756,86.749,4233466
14/11/2016,89.217,89.95,83.418,83.418,2118001
15/11/2016,81.277,83.26,80.395,81.773,1409207
16/11/2016,82.258,82.566,80.593,81.277,998446
17/11/2016,81.317,83.042,80.881,81.198,1027957
18/11/2016,80.782,80.782,79.602,80.286,524681
21/11/2016,82.962,83.26,81.961,82.199,724071
22/11/2016,84.251,85.658,83.775,84.251,1087816
23/11/2016,85.44,85.936,83.517,85.847,1169435
24/11/2016,87.423,89.008,87.076,89.008,1322590
25/11/2016,89.098,89.098,87.145,87.769,942587
28/11/2016,89.306,90.079,87.72,87.72,796999
29/11/2016,86.729,88.8,85.738,86.124,1240345
30/11/2016,85.847,89.108,84.845,86.59,1493032
01/12/2016,87.898,87.898,84.251,86.084,1208908
02/12/2016,85.886,86.58,85.41,86.035,651787
05/12/2016,88.394,91.655,88.097,91.03,1974278
06/12/2016,91.377,94.747,90.842,94.46,1712162
07/12/2016,95.649,97.533,93.191,93.419,2211081
08/12/2016,93.419,97.087,92.775,97.087,1660961
09/12/2016,97.136,97.899,95.749,95.897,1209237
12/12/2016,96.581,96.581,94.371,95.56,638290
13/12/2016,95.154,96.541,94.163,94.956,878292
14/12/2016,94.163,94.46,91.913,92.765,1371322
15/12/2016,92.924,93.865,90.614,90.961,1095462
16/12/2016,90.743,91.655,88.711,89.207,1921623
19/12/2016,88.116,88.979,86.778,88.979,1106823
20/12/2016,89.217,91.734,88.453,91.477,663831
